replicate,NumDays,treatment,predict_spec,mean.dens.ml
2,15,C+D+S+Pd,Spath,34.772999999999996
2,15,C+D+S+Pd,Spiro,13.84
2,17,C+D,Colp,218.9270460704607
2,17,C+D,Dexio,328.22178861788615
2,17,C+D+P,Colp,243.60650406504067
2,17,C+D+P,Dexio,173.8439024390244
2,17,C+D+P,Para,247.35718157181572
2,17,C+D+P+Pd,Spath,16.45132075471698
2,17,C+D+P+Pd,Para,13.84
2,17,C+D+Pd,Noise,13.84
2,17,C+D+S,Colp,287.3769105691057
2,17,C+D+S,Dexio,185.80856368563684
2,17,C+D+S,Spiro,39.382113821138205
2,17,C+D+S+Pd,Noise,16.985454545454544
2,17,C+D+S+Pd,Spath,19.67875
2,19,C+D,Colp,217.27674796747968
2,19,C+D,Dexio,252.8331707317073
2,19,C+D+P,Colp,239.0681842818428
2,19,C+D+P,Dexio,252.00802168021679
2,19,C+D+P,Para,217.23924119241192
2,19,C+D+P+Pd,Spath,13.84
2,19,C+D+P+Pd,Para,18.808205128205127
2,19,C+D+Pd,Noise,13.84
2,19,C+D+Pd,Spath,13.84
2,19,C+D+S,Colp,301.40444444444444
2,19,C+D+S,Dexio,284.9389701897019
2,19,C+D+S,Spiro,73.66330623306233
2,19,C+D+S+Pd,Noise,13.84
2,21,C+D,Colp,218.7020054200542
2,21,C+D,Dexio,296.1534959349593
2,21,C+D+P,Colp,246.56953929539296
2,21,C+D+P,Dexio,123.35978319783197
2,21,C+D+P,Para,135.09940379403795
2,21,C+D+S,Colp,216.86417344173444
2,21,C+D+S,Dexio,219.2271002710027
2,21,C+D+S,Spiro,69.16249322493225
2,23,C+D,Colp,203.0616802168022
2,23,C+D,Dexio,329.9095934959349
2,23,C+D+P,Colp,188.62157181571814
2,23,C+D+P,Dexio,114.95826558265583
2,23,C+D+P,Para,86.49062330623306
2,23,C+D+P+Pd,Para,13.84
2,23,C+D+S,Colp,233.2171273712737
2,23,C+D+S,Dexio,189.48422764227644
2,23,C+D+S,Spiro,61.54861788617886
2,25,C+D,Colp,185.7710569105691
2,25,C+D,Dexio,212.73842818428184
2,25,C+D+P,Colp,158.87869918699187
2,25,C+D+P,Dexio,195.97289972899728
2,25,C+D+P,Para,82.10233062330623
2,25,C+D+P+Pd,Noise,13.84
2,25,C+D+P+Pd,Spath,13.84
2,25,C+D+Pd,Noise,13.84
2,25,C+D+S,Colp,285.4265582655827
2,25,C+D+S,Dexio,277.8876964769648
2,25,C+D+S,Spiro,89.71620596205962
2,27,C+D,Colp,206.96238482384823
2,27,C+D,Dexio,299.79165311653117
2,27,C+D+P,Colp,98.60531165311653
2,27,C+D+P,Dexio,194.54764227642278
2,27,C+D+P,Para,100.03056910569106
2,27,C+D+S,Colp,210.9381029810298
2,27,C+D+S,Dexio,133.11154471544714
2,27,C+D+S,Spiro,44.633062330623304
2,29,C+D,Colp,181.7953387533875
